"","GEOID","NAME.x","pop_2017","pop_2018","pop_change"
"373","12105","Polk County, Florida",652256,668671,2.51664990433204
"374","12107","Putnam County, Florida",72435,72766,0.456961413681231
"375","12109","St. Johns County, Florida",226578,235503,3.93904086010116
"376","12111","St. Lucie County, Florida",298763,305591,2.28542356315876
"377","12113","Santa Rosa County, Florida",166778,170442,2.19693244912399
"378","12115","Sarasota County, Florida",404839,412144,1.80442101674987
"379","12117","Seminole County, Florida",449260,455086,1.29679918087522
"380","12119","Sumter County, Florida",116754,120999,3.63584973534097
"381","12121","Suwannee County, Florida",43814,43924,0.251061304605834
"382","12123","Taylor County, Florida",22350,22098,-1.12751677852349
"383","12125","Union County, Florida",15300,15239,-0.398692810457516
"384","12127","Volusia County, Florida",518660,527634,1.73022789496009
"385","12129","Wakulla County, Florida",31586,31877,0.921294244285443
"386","12131","Walton County, Florida",63457,65858,3.78366452873599
"387","12133","Washington County, Florida",24472,24566,0.38411245505067
"388","13001","Appling County, Georgia",18471,18454,-0.0920361647988739
"389","13003","Atkinson County, Georgia",8313,8265,-0.577408877661494
"390","13005","Bacon County, Georgia",11279,11228,-0.452167745367497
"391","13007","Baker County, Georgia",3251,3189,-1.90710550599815
"392","13009","Baldwin County, Georgia",45527,45286,-0.529356206207306
"393","13011","Banks County, Georgia",18363,18510,0.800522790393727
"394","13013","Barrow County, Georgia",75099,76887,2.3808572684057
"395","13015","Bartow County, Georgia",102623,103620,0.971517106301706
"396","13017","Ben Hill County, Georgia",17272,17154,-0.683186660490968
"397","13019","Berrien County, Georgia",19014,19025,0.0578521089723362
"398","13021","Bibb County, Georgia",153923,153490,-0.281309485911787
"399","13023","Bleckley County, Georgia",12779,12775,-0.0313013537835511
"400","13025","Brantley County, Georgia",18411,18561,0.814730324262669
"401","13027","Brooks County, Georgia",15629,15622,-0.0447885341352614
"402","13029","Bryan County, Georgia",34883,35885,2.87245936416019
"403","13031","Bulloch County, Georgia",73742,74782,1.41032247565838
"404","13033","Burke County, Georgia",22645,22550,-0.419518657540296
"405","13035","Butts County, Georgia",23556,23750,0.823569366615724
"406","13037","Calhoun County, Georgia",6503,6428,-1.15331385514378
"407","13039","Camden County, Georgia",52252,52714,0.884176682232259
"408","13043","Candler County, Georgia",10894,10827,-0.615017440793097
"409","13045","Carroll County, Georgia",114898,116022,0.978258977527894
"410","13047","Catoosa County, Georgia",65870,66299,0.651282829816305
"411","13049","Charlton County, Georgia",12963,12983,0.154285273470647
"412","13051","Chatham County, Georgia",285506,287049,0.540443983664091
"413","13053","Chattahoochee County, Georgia",11096,10767,-2.96503244412401
"414","13055","Chattooga County, Georgia",24880,24817,-0.253215434083601
"415","13057","Cherokee County, Georgia",235896,241910,2.54942856173907
"416","13059","Clarke County, Georgia",123554,124602,0.848212117778461
"417","13061","Clay County, Georgia",3024,3001,-0.760582010582011
"418","13063","Clayton County, Georgia",274150,278666,1.64727339047966
"419","13065","Clinch County, Georgia",6788,6743,-0.662934590453742
"420","13067","Cobb County, Georgia",739072,745057,0.809799315898857
"421","13069","Coffee County, Georgia",43048,42961,-0.202099981416094
"422","13071","Colquitt County, Georgia",45890,45606,-0.618871213772064
"423","13073","Columbia County, Georgia",143723,147295,2.48533637622371
"424","13075","Cook County, Georgia",17190,17184,-0.0349040139616056
"425","13077","Coweta County, Georgia",138015,140516,1.81212187081114
"426","13079","Crawford County, Georgia",12385,12344,-0.331045619701252
"427","13081","Crisp County, Georgia",23005,22846,-0.691154096935449
"428","13083","Dade County, Georgia",16282,16227,-0.33779633951603
"429","13085","Dawson County, Georgia",23397,23861,1.98316023421806
"430","13087","Decatur County, Georgia",27023,26833,-0.703104762609629
"431","13089","DeKalb County, Georgia",736066,743187,0.967440419744968
"432","13091","Dodge County, Georgia",21063,20919,-0.683663295826805
"433","13093","Dooly County, Georgia",14053,13905,-1.05315590977016
"434","13095","Dougherty County, Georgia",91522,91049,-0.516815629029086
"435","13097","Douglas County, Georgia",140152,141840,1.20440664421485
"436","13099","Early County, Georgia",10405,10348,-0.547813551177319
"437","13101","Echols County, Georgia",4011,3994,-0.423834455248068
"438","13103","Effingham County, Georgia",57087,58689,2.80624310263282
